Title,Company Name,Description,Link
DATATRONiQ,(Senior) Developer Fullstack (Typescript / Javascript / Node.js),"
			🚀 DATATRONiQ stands out as a pioneering deep-tech 💪 startup for the industrial IoT in Germany. Our platform offers a one-stop solution for companies to monitor and optimize their assets and processes. Our device management and data acquisition technology generate high-quality data for our AI models deployed on edge. We believe in an open and...		",https://berlinstartupjobs.com/engineering/senior-developer-fullstack-typescript-javascript-node-js-m-f-d-datatroniq/
DATATRONiQ,(Senior) Backend Developer (Golang),"
			🚀 DATATRONiQ stands out as a pioneering deep-tech 💪 startup for the industrial IoT in Germany. Our platform offers a one-stop solution for companies to monitor and optimize their assets and processes. Our device management and data acquisition technology generate high-quality data for our AI models deployed on edge. We believe in an open and...		",https://berlinstartupjobs.com/engineering/senior-backend-developer-golang-m-f-d-datatroniq/
FinCompare,Senior Golang Engineer (f/m/d) – Berlin/hybrid,"
			Our vision is to provide small and medium-sized enterprises (SMEs) with effortless access to the best financing solutions. For this purpose, FinCompare connects SMEs, financial institutions and financing advisors digitally and personally on its unique market platform in order to achieve the best possible financing result in each case. Join us on our journey to...		",https://berlinstartupjobs.com/engineering/senior-golang-engineer-f-m-d-berlin-hybrid-fincompare/
mediaire,Senior Software Engineer,"
			WHO WE ARE We are a Berlin-based medtech startup dedicated to building AI-powered software that supports radiologists with their daily work: ​analyzing medical images. Our applications for identifying Alzheimer\’s, multiple sclerosis, aneurysms and cancer from MRI scans are already on the market and quickly gaining traction. Crucial for our success is the seamless integration of...		",https://berlinstartupjobs.com/engineering/senior-software-engineer-mediaire/
Kaiko Systems,Senior Fullstack Engineer (f/m/d),"
			Transform operations on the frontline of a key global key industry – shipping – as a Senior Engineer at Kaiko Systems. Shipping is an industry on the brink of disruption. Many other major global industries already went through fundamental changes, and logistics as the backbone of global trade is next. We at Kaiko are dedicated...		",https://berlinstartupjobs.com/engineering/senior-fullstack-engineer-f-m-d-kaiko-systems/
Maya Climate,Geospatial Engineer,"
			The Role As Maya continues to scale its engineering team, we’re looking for a Geospatial Engineer passionate about making a difference in how Nature-based Solutions are financed and developed. You will play a pivotal role in our development team, contributing to our ambitious roadmap and expanding our offerings. This role offers the unique opportunity to...		",https://berlinstartupjobs.com/engineering/geospatial-engineer-maya-climate/
  Bitpanda  , Senior Python Engineer Blockchain Cryptocurrencies ," Work directly on integrating and maintaining Crypto Nodes and services that interact with various parts of the Crypto ecosystem. Develop clean, scalable and maintainable solutions for high performance backend systems in Python Build event driven architecture hosted on AWS with Kafka. Build strong relationships across various engineering squads and happily discuss topics and challenges. Join a team of highly skilled and eager engineers to collaborate with and hone your skills. ",https://web3.career/senior-python-engineer-blockchain-cryptocurrencies-bitpanda/71967
  Blockworks  , Senior Data Engineer ,"  Own Data Sourcing Pipelines: You'll be responsible for helping to architect our data warehousing, ingestion, and sourcing strategy, working with multiple SDKs to aggregate data from various sources into Blockwork's own data warehouse.  Design and Implement ETL Solutions: You'll be responsible for implementing our overall ETL approach, including accessing & setting up blockchain nodes to pull from, sourcing data from 3rd parties, and modeling our internal schemas across our PostgreSQL database(s)  Grow Shared Knowledge: You'll help provide technical leadership, guidance, and assistance to the team in the implementation of established architectures and designs.  Drive Operational Efficiency: You'll be constantly looking for opportunities to improve data workflows and reliably automate routine tasks.  Cross-Functional Collaboration: You'll work with other teams across Blockworks, including Research, Product, and Engineering, to lead initiatives and move collaborations forward. ",https://web3.career/senior-data-engineer-blockworks/71887
  Gigster  , Python BackEnd Engineer Gigster Network ," Leading the design, development, and maintenance of scalable and high-performance backend system using Django.  Writing clean, well-documented, and maintainable code that follows software engineering best practices.  Ensuring high availability and fault tolerance of backend systems through redundancy, failover, and disaster recovery planning. Ensuring high-quality code, adherence to best practices, and code optimization.  Collaborating closely with product managers, designers, and backend engineers to identify and define application requirements. ",https://web3.career/python-back-end-engineer-gigster-network-gigster/71602
  Bitpanda  , Software Engineer Python Assets Hedging ," Launch brand new assets such as crypto currencies, stocks, commodities and more into the Bitpanda ecosystem Develop clean and robust software for high performance backend systems Work on loosely coupled microservices that support core business of the entire organisation Solve multi-dimensional problems that you never knew existed before Join a motivated team of highly skilled, experienced developers that can support and mentor you on your learning journey ",https://web3.career/software-engineer-python-assets-hedging-bitpanda/70799
  Bitpanda  , Senior Software Engineer Blockchain Python ," Work directly on integrating and maintaining Cryptonodes and services that interact with various parts of the Crypto ecosystem. Develop clean, scalable and maintainable solutions for high performance backend systems with event driven architecture hosted on AWS with Kafka. Research, learn and apply new best engineering practices, hot new tools and more using data and metrics for informed decision-making and continuous improvement. Join a team of highly skilled and eager engineers to collaborate with and hone your skills. ",https://web3.career/senior-software-engineer-blockchain-python-bitpanda/70371
  Bitpanda  , Python Engineer Blockchain Crypto ," Work directly on maintaining Cryptonodes and services that interact with various parts of the Crypto ecosystem. Develop clean, scalable and maintainable solutions for high performance backend systems with event driven architecture hosted on AWS with Kafka. Work on loosely coupled microservices that support core business service of the entire organisation. Join a motivated team of highly skilled, experienced developers that can support and mentor you on your learning journey. ",https://web3.career/python-engineer-blockchain-crypto-bitpanda/70219
  Crypto.com  , Senior Python Data Engineer Finance Digital Transmation ," Python - Must be adept at scripting in Python  SQL - Techniques for querying, transformation, and performance optimisation  Apache Airflow - Experience working with DAGs in Airflow or a similar tool. GitHub - Experience with version control, branching, and collaboration on GitHub.  Collaboration - Ability to work with stakeholders to translate business requirements into technical solutions.  Communication - Spoken english  Familiarity with Docker, Kubernetes, AWS/cloud platforms, and unit testing  Bonus Experience: Elixir, Cloudera Data Warehouse, AWS Athena/Tableau  ",https://web3.career/senior-python-data-engineer-finance-digital-transformation-crypto-com/69134
  Wallet  , Python Engineer , Work with product managers and data analysts and analyze business requirements for the solution Develop client and server parts of complex online projects Code writing for backend parts of applications with service-oriented architecture Direct participation in the architecture design of heavily loaded scalable components for technological ecosystem of cryptocurrency transactions Implementation of complex ecosystem components – writing code using modern technologies Assisting other engineers in their professional development Participating in recruiting future colleagues and representing the company at various conferences and public events ,https://web3.career/python-engineer-wallet/68750
